Sr.No.,Jet Fuel_avi_BTU,Gasoline_avi_BTU,LDV_SWB_road_BTU,LDV_LWB_road_BTU,Combination_Truck_road_BTU,Bus_Road_BTU,Railways_BTU,Water_BTU,Natural_Gas_BTU,LDV_SWB_EFF,LDV_LWB_EFF,Passenger_Car_EFF,Domestic_EFF,Imported_EFF,Light_Truck_EFF,Passenger_Car_Age,Light_Truck_Age,Light_vehicle_Age,Demand_petroleum_transportation)mil_lit,Average_MC/15000_miles(dollars),CO2_emission_million_metric_tons,CO_emission_million_shots_tons,NOx_emission_million_shots_tons,particulate,SOx_emission_million_shots_tons,Volatile_compound_million_shots_tons,Overall_emission
18,1770.1335,33.5629051,8871.28134902,6437.920949366,3068.7176673840004,123.401287114,509.68351,280.81349566899996,648.087668,22.067355091809322,17.684178534519752,30.32107744067438,30.5,29.9,22.1,9.3,8.4,8.9,506261.86016852397,7654.0,1859.394,106.262327387,21.548510710000006,23.707593999999997,15.931655637999999,17.111263,2043.955350735
19,1658.772,33.25864284,9101.115177227999,6642.205910888,3185.12877418,120.233435018,512.43113,285.60424590099996,691.59604,22.537768096638615,17.83778526230635,30.0877234841691,30.3,29.7,22.5,9.8,9.4,9.6,519585.25365174,7534.0,1898.731,102.03284772508191,23.958760506115524,21.575879104188964,15.032064971951257,20.289449086873432,2081.620001394211
20,1676.295,32.7393548,9099.177285422502,7308.342742550692,2864.6617943566634,116.55054727793672,525.619706,304.56282390099994,613.377204,22.86563940759788,17.073137862941504,31.242083440278726,30.6,32.2,23.1,9.9,9.5,9.7,524688.4962729481,7754.0,1916.584,99.59269794009336,22.650576240673704,21.664485311462375,14.807944022964758,19.910969988720197,2095.2106735039147
21,1806.3,32.80237566,9094.14339648554,7628.195070023372,2909.8270211217723,163.6103938463633,557.629479,293.946294983,587.135919,23.65481769227732,17.33644678841493,31.46933735656268,31.2,31.8,23.6,10.0,9.5,9.8,534431.817430104,8431.0,1971.599,97.147153499985,21.331139755449538,21.749045663892378,14.571443002309113,19.51383897111179,2145.9116208927476
22,1793.367,35.4642810055108,9335.15054437244,7081.127076986283,3330.558609185967,134.72663851245258,562.987338,275.52638788400003,605.634962,23.532242432153808,17.292756750601264,32.900237517235425,32.1,33.8,24.8,10.1,9.5,9.8,529914.3521742481,8410.0,1992.366,88.5458895540806,20.354764446241735,21.301522328331895,14.545748475852127,17.753005659169496,2154.866930463676
23,1757.619,34.068496943788,9049.113355859883,7299.585806986717,3380.8237040630715,138.1375610916764,575.901152,261.45500157799995,605.828881,23.341158652912874,17.177793762471715,33.937919204118366,33.1,35.2,25.2,10.2,9.5,9.9,529135.132684872,7834.0,2023.293,85.83709915223069,19.227000091228515,21.401133701576523,13.122556026637046,17.901738045132202,2180.782527016805
24,1754.838,32.892196890402396,11130.649011962,4132.923995184,3722.7717098099997,243.35265146199998,558.041622,264.318433761,644.354468,23.0798242630007,17.07625350626144,33.12647916965197,32.7,33.7,24.7,10.3,9.6,10.0,529568.751629472,7823.0,2026.325,83.12830875038078,18.099235736215302,21.500745074821154,11.699363577421959,18.050470431094915,2178.803123569934
25,1683.369,29.815624179994003,10354.05872148504,4201.0251005526725,3676.0462036720965,247.41962426075753,533.862566,272.484497782,671.930372,23.303849749363795,17.128315598116465,35.270757156809665,34.8,36.0,25.0,10.4,9.8,10.1,514906.950025416,8121.0,1895.531,79.65508913495516,16.90935917245684,21.579932231496247,10.323657863075903,17.758856144507654,2041.7578945464918
26,1504.899,27.335002134049656,10361.415933753126,4295.477744193419,3374.0207709502397,239.0166246517253,438.520152,262.807654904,694.970438,23.410443534113835,17.159536947838717,36.399878124278324,36.1,36.8,25.7,10.5,10.1,10.3,517644.722756532,8096.0,1831.553,72.75252470155964,15.771705262182097,21.199241452356386,9.08923765867349,17.59319721866951,1967.9589062934413
27,1492.6545,26.532599864740003,10490.773516290716,4360.484646910434,3599.7586553113306,231.0855274084867,480.009214,275.151337754,699.066588,23.203281716521573,17.097833372547274,36.53729291966994,36.3,36.9,26.5,10.8,10.5,10.6,521273.7404597519,8487.0,1847.157,73.77104947113307,14.846453588649203,20.823025342522605,7.732208415108056,17.835013588387945,1982.1647504058008
